,symbol,period,open_time,open,high,low,close,volume,feat_ret_high,feat_ret_low,feat_ret_close,ma20,ma20_slope,feat_z_score_ma20_slope,ma50,ma50_slope,feat_z_score_ma50_slope,ma100,ma100_slope,feat_z_score_ma100_slope,ma200,ma200_slope,feat_z_score_ma200_slope,log_open,log1p_volume,feat_z_score_log_open,feat_z_score_log1p_volume,label_close_fast,label_close_slow
0,BTC/USDT,4h,1582545600000,9816.21,9848.2,9676.24,9709.79,27554.446,0.32588952355341316,-1.42590673997397,-1.0841251358721826,9747.1925,0.00017012920122527753,-0.07287538478486692,9783.3002,-0.0005300716081934054,-0.9365724692426634,9942.3095,-0.00011236568865780061,-1.610104567658068,9526.0686,0.0005066511971205667,-1.2638633687925855,9.191790379804939,10.223919180871166,-0.08548048897997136,0.41567449529486905,-1.4953126173400317,-6.594092291433007
1,BTC/USDT,4h,1582560000000,9710.32,9740.0,9487.38,9608.4,38442.595,0.3056541905930965,-2.2959078588553283,-1.0496049563763044,9742.603000000001,-0.00047085353038822664,-0.4357912739188419,9776.7866,-0.0006657876040643274,-1.0438930632085102,9941.1303,-0.0001186042337546489,-1.5975299505832066,9530.80395,0.0004970938378503487,-1.2687735863104121,9.1809445164581,10.55692136861005,-0.44623662830582206,1.0720087884757588,0.12929155631686584,-5.8873197611414305
2,BTC/USDT,4h,1582574400000,9608.88,9680.0,9574.01,9662.95,15884.596,0.740148695789733,-0.3628934901882319,0.5627086611551091,9739.4505,-0.00032357882179945285,-0.3534577531443831,9772.6298,-0.0004251703724410527,-0.812431782304106,9939.9598,-0.00011774315039414507,-1.577046205801094,9535.8318,0.000527536819178831,-1.166893458511364,9.170442949907063,9.67310511358196,-0.7994962405560139,-0.6899022600888263,-1.9753694437475398,-6.562591889553064
3,BTC/USDT,4h,1582588800000,9662.88,9680.0,9574.12,9588.77,12362.127,0.1771728511582582,-0.9185667213087445,-0.7669556074379358,9734.51,-0.0005072668114080026,-0.45505173982496006,9769.2938,-0.00034136154425912224,-0.7235671228909802,9937.5914,-0.00023827058133585322,-1.7449751227421453,9540.417350000002,0.0004808757218224269,-1.2724158941712613,9.176047019418627,9.422392803584987,-0.6351747587506564,-1.173001222122377,-1.660850643385762,-5.743327187850188
4,BTC/USDT,4h,1582603200000,9588.32,9614.48,9497.5,9530.57,18559.237,0.2728319455337358,-0.9471940861381367,-0.6022952926060032,9726.969000000001,-0.0007746666242059996,-0.603330375411059,9761.467999999999,-0.0008010609733121177,-1.1267417910368847,9934.5123,-0.00030984369109787746,-1.8270262336485177,9544.64735,0.00044337682984041393,-1.3505534402046742,9.168300970049488,9.828722895581363,-0.90698869627586,-0.3703798182608804,-1.524543016801731,-5.889446525510313
5,BTC/USDT,4h,1582617600000,9530.56,9658.0,9501.02,9632.0,23240.035,1.337172212335891,-0.3099503072222287,1.06436557767855,9725.041000000001,-0.0001982117965010355,-0.2772609666862279,9757.688,-0.00038723683773778106,-0.7353076733049411,9932.1285,-0.00023995138644095082,-1.6908799974490478,9549.8067,0.0005405490439622795,-1.0717970514991202,9.162258756726667,10.053631716988809,-1.1261581830559622,0.07531323548255506,-4.014309076096312,-7.241127226570117
6,BTC/USDT,4h,1582632000000,9634.29,9686.78,9357.6,9404.39,46673.935,0.5448247872962053,-2.8719293274335755,-2.386268214886633,9715.3505,-0.000996448241195158,-0.724704863465602,9750.5234,-0.0007342518022711575,-1.0374923776793856,9927.1081,-0.0005054707054990004,-2.0632705799354216,9553.90865,0.00042953225430220066,-1.3469679803671553,9.173083888460182,10.75094115079556,-0.7809031360075592,1.442690592903795,-2.0579189170947867,-5.666089924537223
7,BTC/USDT,4h,1582646400000,9404.93,9466.48,9285.66,9368.3,37191.922,0.654443999051546,-1.2681646753351705,-0.3894765830261493,9701.722,-0.0014027800643940935,-0.953276628721849,9745.1986,-0.0005461040173494469,-0.8519253326326518,9920.2032,-0.0006955600695029984,-2.300369057863119,9558.581100000001,0.0004890616156354444,-1.1687668768788808,9.148989298857884,10.523846866143012,-1.6180665569483539,0.9993058462010633,-1.8858270838217015,-6.311551169297086
8,BTC/USDT,4h,1582660800000,9368.59,9434.65,9247.0,9326.0,30614.469,0.7051221154944276,-1.297847381516326,-0.4546041613519236,9686.136,-0.0016065189251969203,-1.0646302040542874,9738.9444,-0.000641772451923095,-0.925336718957624,9912.0961,-0.0008172312438115004,-2.4186869318501096,9563.376900000001,0.0005017271862661765,-1.1171309229433932,9.145117883653041,10.329228019322638,-1.7751926330108447,0.6171031564749855,-2.793904650593094,-5.4828399053402705
9,BTC/USDT,4h,1582675200000,9326.0,9384.0,9117.71,9178.92,38363.262,0.6219172206733958,-2.2334334119665566,-1.5770962899420926,9661.310000000001,-0.0025630447476681084,-1.583189469961392,9729.0242,-0.0010186114215828823,-1.2497359959358603,9902.5803,-0.0009600189408980331,-2.56359644370199,9567.3748,0.000418042710415234,-1.317328696256633,9.140561477368266,10.554855561878327,-1.9516760049476767,1.0491479076622274,-2.562313116448702,-4.82229027665965
10,BTC/USDT,4h,1582689600000,9178.92,9230.72,9130.0,9157.61,21741.146,0.5643365450401561,-0.5329603046981601,-0.23216238947501022,9636.2305,-0.00259586950423929,-1.5797605246217894,9717.8564,-0.001147884902989449,-1.3444787841382828,9893.0864,-0.0009587299181001985,-2.495622555966159,9571.11485,0.0003909170569966758,-1.3653701320918807,9.124664829634755,9.986961873177316,-2.5067685540720976,-0.09029065127136653,-3.0615384473340383,-4.219831602951341
11,BTC/USDT,4h,1582704000000,9158.52,9241.73,9116.0,9170.01,28263.287,0.9085529102955459,-0.4642671523346631,0.1254569515598547,9605.041000000001,-0.0032366909446591707,-1.8980888006028085,9706.6472,-0.00115346425575924,-1.327763368397341,9883.8683,-0.0009317719089161347,-2.3853731904076514,9575.3149,0.00043882557735686056,-1.2194567238982508,9.122439872561603,10.249318962284333,-2.57575775005534,0.42668075384975823,-4.087826102241416,-4.425466109131587
12,BTC/USDT,4h,1582718400000,9170.0,9300.0,8981.06,9004.24,76667.011,1.4176663031624903,-2.060414394765542,-1.8076335877862615,9560.7745,-0.004608673716228973,-2.563323317109647,9690.7762,-0.0016350650923008248,-1.724210570054366,9872.2369,-0.0011768064534004585,-2.629671480622794,9578.6109,0.00034421844445042815,-1.4439743020862446,9.123692565250511,11.247226790531485,-2.5170616318512975,2.355458064432629,-2.1658866248226802,-2.590107272857469
13,BTC/USDT,4h,1582732800000,9004.08,9040.0,8610.0,8838.29,79977.143,0.3989302627253499,-4.376682570568013,-1.8412763991434877,9510.581,-0.005249940786700824,-2.790260434800481,9673.290799999999,-0.001804334311218736,-1.8334004506355484,9859.549700000001,-0.0012851393385827636,-2.674081624441493,9580.71955,0.00022014152386118369,-1.7383119367951194,9.105433086927178,11.289496160332426,-3.077839921625489,2.379867111693783,-0.449521394586927,-1.0418852515806971
14,BTC/USDT,4h,1582747200000,8838.3,8869.0,8720.0,8792.22,21993.323,0.3473518663091424,-1.3384926965592903,-0.5213672312548767,9456.4945,-0.005686981689131287,-2.890093491960039,9652.3754,-0.0021621804236463538,-2.0916287004671403,9847.6152,-0.0012104508180531548,-2.491342872351096,9582.1346,0.000147697674753422,-1.8872442345461256,9.086849829445885,9.998494186275007,-3.5376262916316525,-0.09525836927196323,0.38531189451718934,-0.8089624196804508
15,BTC/USDT,4h,1582761600000,8793.96,8798.09,8533.9,8745.5,49497.137,0.04696405259974057,-2.9572570264135734,-0.5510600457586667,9399.669,-0.006009150642450112,-2.9220734045523504,9626.225400000001,-0.0027091776807602885,-2.481620327942481,9836.7966,-0.001098601009511424,-2.2799680386813614,9583.3421,0.00012601576270920845,-1.9029407732668144,9.081820401174577,10.809670108500239,-3.5161572602584674,1.4930450143776712,1.5752966888284161,-0.15251986930825842
